incremental-cost,incremental-dalys,moderate_case_dw_sample,severe_case_dw_sample
562647873.5055641,2640.7714845729824,0.05728327160137468,0.1546115923819001
520442465.88617265,1869.697039683705,0.046287467396910656,0.09678411751047918
615454706.2393123,3099.810993442964,0.05435352610059042,0.09403687750920638
408374041.50811315,1507.070500199423,0.026619841625517573,0.10817708688401195
600141404.1701071,2373.095217084873,0.04490233694790305,0.18800147269847686
599539895.1137729,2926.7100999171753,0.04471875442067244,0.14944053018979145
618985676.6717463,2488.72529016321,0.036223325368395946,0.1765873144970551
544195915.7899411,1815.5953330769344,0.06694425799683608,0.11026983351479726
611479160.5338933,2140.550013134551,0.06365416841509114,0.15960104190894978
605124301.4803219,2369.4039971487073,0.047886392446219804,0.13003571195606242
458305110.8317489,1206.0047933363126,0.04855668905019556,0.12599267716177875
622304021.7702184,1926.4768188125126,0.0484614851251622,0.1697081328088947
479425479.31624687,1261.5046605027005,0.05467870139541337,0.10172990134448988
614350055.9761717,3244.5642174805394,0.036493824152893026,0.1420404731412358
612860581.1688287,2111.4752841538793,0.056767843593759366,0.12827720497263054
593709402.0543747,2270.9838181505374,0.06928891107116973,0.12979835738701528
584950499.9922695,2328.143272409888,0.052906521349807285,0.10166518750736217
607461247.656071,2194.6311975018625,0.04247552794538702,0.1351674221051462
477097309.9713605,1500.3717088474586,0.04837458535288398,0.17993918036639578
603652577.2082047,2663.9469590971903,0.050144022189158734,0.14573239991575299
508363954.89625466,2788.1493522167257,0.06990786274918015,0.11122716791672643
429397779.9536804,1075.0755486399703,0.053998211405833545,0.14144323340606407
552604260.1818361,1318.155857300631,0.053818048120095476,0.12185209163420446
617664992.2682751,2335.956851618569,0.03884093696087679,0.1426711247121327
386448154.30835664,1082.5221018054644,0.061330930324684375,0.1267150781635216
600376594.7985687,2377.198668633044,0.03486556581887559,0.14456591310928013
620893458.6026402,2309.9700618426186,0.06812463585773391,0.1355413962161757
526362711.1637739,1918.8285944949826,0.03942959046919568,0.18537685068425866
607922045.0423212,2088.644044873438,0.038768201763266646,0.1362586384776436
564160190.6438886,2559.2393392508775,0.04253132084740284,0.12233224960868073
598874197.3906788,3514.249337497279,0.0493783095816958,0.12879495736878596
616154257.7155185,2846.4542506747553,0.042419554770701334,0.16827369652532156
602351086.0055195,2860.5228814244433,0.05372843491231213,0.15639411710058285
565450028.7245451,3419.302200596204,0.05519131760968841,0.12732409692110425
597240539.5809757,2501.641035711803,0.03655058709556694,0.13227931374240223
535183934.076782,2656.35682061664,0.06013399239074502,0.11760053755089203
621092745.3460029,2205.3352027219976,0.03584933863268448,0.1341731551102847
606510986.0920384,3299.7801726639436,0.05438112340925796,0.1276195980568058
614246854.0411828,2914.8764265687278,0.051338241027920756,0.13992626879992864
502440372.27399075,1947.892711210482,0.05425040731459579,0.12864421726534686
614398436.3039608,2354.0193234648345,0.0603363651945784,0.11207806734771225
390308790.6941752,913.7753925010402,0.049847767109290314,0.20402161423387166
609677217.9880213,3944.960930869241,0.05159137410290689,0.18531990673876877
401444167.9513469,1436.8341334907127,0.042016414485758234,0.10966730580521841
316002350.36451495,750.7678682488367,0.05369746823389811,0.09256827185990656
616192939.2343444,3171.564987536247,0.06834200405300107,0.14087669653151585
600503315.204615,3346.1929617673577,0.04319165801206904,0.14574842710413022
292037208.67710173,375.88736521969213,0.05260901337380291,0.15872163203324577
456334978.6826899,1728.312566295097,0.05055851201939022,0.11431424628475624
620924291.4647498,1627.6057492320701,0.05656900582165604,0.14414155686254926
612944705.805867,4247.7388685246115,0.06729521840425554,0.08475335942667242
579726877.5536215,2358.7957054155822,0.060466532844136306,0.1587499379587194
