incremental-cost,incremental-dalys
515843076.94063854,1677.168145796668
475101184.8605765,1224.4422465710068
574881590.9633043,2053.3307226614616
445913810.80598986,1201.4433252277927
512512033.2096323,2513.5352271454467
549486649.4294627,1676.4799392692257
516934064.0982814,2594.2207272016663
523459932.77752215,2772.690751167431
512710649.65493983,2325.929839290685
505220129.0182361,2139.9145002882506
549109608.0722082,1417.4183738115541
497939669.65007865,1779.1507708501304
470852080.70052433,2465.6416037471054
553729681.983899,2383.4161518189194
480796309.7441075,1222.344349584363
565515645.4310156,2204.0192333899504
524046057.11345595,999.527361000627
542900465.0081527,2030.2584366586257
554191352.5892606,2847.7686220823866
459218765.29527533,1486.6441467637378
499519214.3961702,1688.3379683469166
501198621.78731644,2086.6451608732814
552786945.4994617,1471.9715802071723
496303291.7087947,2120.878748426956
581351405.2799757,2342.539565762192
439267965.88224936,1864.5884231284326
470317205.8812207,1787.1125445164016
552635230.997915,2223.343085510065
399624557.5395963,1409.1946921241843
497277072.09258604,2741.7302915988093
432479677.18675697,834.8720975540264
464488711.6357863,1924.5622140801052
508426677.7933058,1278.4126579382596
537951312.3052036,1134.5465797388183
415911452.46967274,989.9758364935892
466138813.0724616,1504.1898009866882
501654071.9290428,1602.332480828486
536814691.4209624,1982.8162588516861
541065225.4200974,1987.59068723682
538679368.8052409,2164.995716290176
572421030.9535755,1720.8245226090817
402267358.27338743,1097.408145124221
529302174.7608203,1667.1565386676266
545787621.775589,2805.177234156333
532908655.22871065,1656.4266308551141
508375109.7769512,1964.6865156646454
505883019.20314723,1949.259548757861
526699535.22834307,1488.661072735595
572129092.3736668,2174.9175176266517
488648737.59716076,1516.2465640760765
544233560.2450992,1633.3343885645236
524814812.5532942,1969.5791121050488
519957236.4184752,1478.301956798753
554084582.430921,2684.2671467032796
533652970.9888525,1901.719422932124
529980734.0587445,2641.613317148926
494225543.29065776,1209.3798364888598
538694632.127891,2963.5821202926454
407904190.3509995,1180.1309227916508
461192207.0727978,1226.0860606027782
459749354.58805394,1676.8359376142607
461014396.1039231,1986.9164206612436
507355462.20296293,3065.120986294778
491505878.30966735,1503.6086676255518
473247095.34463406,1503.5033822182904
555346787.0521283,3093.604707673723
553460587.7534213,2592.1739880444597
500417992.6884024,1977.1184967701947
459807761.21043396,1668.072459889363
485970866.43625426,2132.6458568612516
460081393.15756565,2634.3692610249836
503658815.290529,2322.3690535494925
541822305.105351,1751.223102477265
575680961.814463,1324.6204095534006
521624005.68912745,2081.9772228925904
476188865.3042617,2054.802941509707
570767005.851951,2800.8940763872324
534865699.46085775,2080.7486287417514
556653168.4935461,2111.8919859866055
507578397.2187129,1927.635525703893
541619782.3565954,1188.4225286765313
546384699.2206665,2235.350232229056
480727634.0880926,1787.4047538972018
448567596.75019383,1707.9338010261558
530053236.3696159,1814.7374205950264
459881505.787804,1152.9600492347258
543373906.452441,1979.0004347151553
560657817.7355902,2264.8872775726295
584421789.0111535,2263.6520966346643
542194574.2361838,1512.6445636564326
478651471.25978297,1712.2349505162506
485057604.1749133,1923.7556487553265
561238938.5722195,4727.006182376816
537931035.8326979,1848.9583284113123
458992909.9615059,1589.5306553197943
542082922.9512951,2595.705182707729
561007088.955999,2581.561118499774
545783488.5239518,1837.2268929521756
451876866.68513256,1085.8604262549939
437885654.4141213,1918.4591574771239
443136917.680316,1743.8264553205545
446414410.7870586,919.159852506471
461280442.1603084,1970.3203355812107
546286168.7255813,1172.0284805166993
478229070.71408427,1810.8223868494433
466430627.9526712,1616.7970193701522
568491830.7092056,1500.4341835462678
486164466.6866704,1684.8122387605963
542039187.5143013,2237.3741183154234
573993090.1877859,2766.3259328963486
505476412.5903253,1486.175013520557
564226053.5107607,2722.2057597275098
549626002.1849836,2092.2022837343266
543171103.6962433,2503.033551903179
570949923.8429773,2684.518136885865
473586373.8134263,1617.1150796826473
548002584.7223758,2347.5665192066745
477899236.5442317,1450.6633035087234
479540912.887433,1365.7359011186436
470225574.71164674,2148.573505596223
540196913.9386284,2438.910165851598
521188290.3360698,1984.1491837676044
537371297.7935243,2023.460191816198
523154124.5402926,1921.0522297482262
520174696.09061986,1552.6089973446078
464130672.7528081,2855.919523066569
540748774.7644837,2100.3639808659955
482306757.0521362,1873.4268750345605
505905408.3987726,2634.338487439593
472031391.5537586,2249.5616747699405
509056985.24912566,1716.256830707704
542083631.3035437,2573.1153074622716
561322790.3756,2543.7015392113467
542909374.0080984,2539.974374489401
562336612.5326487,3109.444498449928
543721524.0724978,2067.628100274052
525545725.53595847,2525.0661677352236
524694688.53592557,1851.578034310407
483028980.2850861,1563.1433943872662
412386380.1232513,1740.540392412704
457571259.05404586,992.796186505891
514791429.10159665,2717.4738976792632
415110799.0213157,1176.8466574522354
555722365.0233687,1848.671303514524
495453494.74523944,1750.9591691656133
502470652.91246176,1575.1959062080105
474518812.0370071,1651.909844289868
521626209.405482,3154.867514873463
491450769.7098424,1814.6846592051197
438408997.18273747,1172.4433956432936
540745737.0236709,2626.239948870538
512411471.2577243,1764.9405439467132
496394839.14373446,1901.2645592101921
454914876.1389516,1384.001244271169
562001473.411769,2156.1069210124165
540452048.5797039,2235.5805187833657
484318892.43697524,2285.776627432681
502652068.2193099,1942.5406518721052
526889740.042636,2233.0559401848386
404763146.82052624,1080.5596189021785
425795512.04117686,1892.4215075698894
514251742.4462726,1482.6966451542835
472530329.1924477,1749.4775757391053
537842355.2149029,1614.8803692823108
500536655.02975214,1829.5697796441755
424305742.23602694,1226.8234189547138
420618656.12012315,1226.8227284557997
516961091.134912,1490.4768551412985
510662803.00170755,1230.4527588872115
520404990.1976598,1942.010589577244
529570111.633628,2109.713040151832
458137553.6980072,1404.6615178236207
520785129.51728773,1354.8198841498865
446913156.8422216,1372.4306883126046
532115818.24348795,1996.1366883493706
485172449.00551367,1460.154423769029
573550089.8167534,3784.906984465216
535418815.5493102,1912.9993193080145
526445252.9390044,2348.851318372621
450100094.40078586,1211.5685774196427
564813891.157834,1840.9725071282587
436956163.48432344,1297.5014230003721
551080094.4972575,1781.5233112239198
438528330.4404472,2124.3438949985084
440289810.6071134,1423.3906977775591
572527646.6899323,2217.6635612064365
440153031.3513224,1335.4448918583153
552624648.4095014,1829.733836174838
573756935.6200768,1328.878103121585
560756679.0432525,2674.959519418343
577380869.935938,1709.3751515210874
426097333.082438,1236.444207219839
477049821.0788852,1863.1560043694749
434538689.053175,1023.6658692542383
532081899.5030396,2369.3727549558444
386877905.08587265,678.2951287128403
487941959.2632178,1835.6028544177216
438356701.5519478,2162.7512136952228
508085973.0744987,1334.7085799739289
441090597.29199743,892.286404797193
386726690.45518994,1331.380337383278
368748334.9181358,1128.034654348714
430824413.2926102,1327.6853515960843
516548958.1492525,1735.189860243805
555633427.2034155,2203.902873989623
530033415.29543203,1469.6433980532315
528313816.353654,1265.5562414500882
468905317.63154346,1515.1090152858778
488767191.1354324,1243.0047424070672
470835309.051785,1971.2348928383817
475092311.5024862,1662.3400879514925
493978139.9315688,1840.7438174767012
455562155.3028676,1519.4671255107096
510611639.6192093,1127.6498538747219
477671324.241246,2046.9096650050783
561369008.5082295,2639.554205910087
520053238.56268364,1381.392065807268
412138039.4978366,935.4124898087134
567442895.184797,1543.1156883970025
547970699.0563128,1684.2144165775126
518426540.36945295,2482.6476107477374
570153822.7757723,2751.8769337105814
551204703.2921399,2214.995813076328
518540972.5642586,2626.22073009683
441636967.3058945,1499.0755128435958
520713149.6408771,1604.878185633857
541516645.2958726,2341.534057211875
521040665.15291065,1353.1582804541372
553674014.0230236,2032.9436673292148
526584927.9878735,2014.8342537736057
537820616.9981369,1882.159695572836
526524497.31288934,1968.0391832263722
537269719.3829662,1406.156329306838
472877761.129868,2171.8234453569466
537817856.7569687,1489.1716294250655
556042359.8052262,2478.6367664490836
