incremental-cost,incremental-dalys
517546581.3324462,1647.0589074047484
477112952.09819716,1206.4793558147348
576324593.2852472,2156.64394988785
447465722.672148,1184.0802098971426
513205185.01234674,2644.2044218560013
551017431.3584542,1629.039875371308
520190983.0878731,2468.653846724985
525985193.9896946,2874.1341848153697
515588653.2084594,2243.2700284450707
508937158.6696503,2203.9918158750897
550442448.2002618,1408.9765698383533
499855809.1565447,1756.4283627906216
471975010.43848115,2448.323387122392
558265139.4231119,2339.4743943972026
482042076.5160919,1309.1721029338742
566590873.7783638,2114.8155257808094
524973945.3876649,1029.3680506222113
544212855.183971,2071.8594720143437
557800887.979771,2835.849838199146
461022384.95606256,1469.6442493858635
501786334.2929622,1697.7680914449543
503248290.2267942,2153.3390133541025
554767227.322572,1472.9862167514202
498361176.0497526,2145.21093427585
584848826.7921851,2295.394853255084
441997556.5515821,1748.9045342584072
472052577.0728188,1767.8707925160443
554144854.2683794,2235.8761289978534
400485012.4050677,1361.4052519539346
499080981.89835215,2766.334316580126
433951811.7796042,862.0062141958551
465891828.1188669,2025.8984572581003
509831182.4680228,1246.3216990434016
539484701.4686314,1175.110232291077
416845210.0791166,940.6463797120637
469162593.4240936,1481.3734168325645
507825646.8416374,1639.1112604541895
543202853.4754775,1923.2713888744456
542475440.4901702,1991.4974676554702
541156116.0084586,2044.6158183878338
573669688.9221768,1702.4228503744102
403394638.7160357,1067.7375545206746
533224054.30455935,1622.5455657084804
548658870.7668563,2710.3172672613614
533945680.37441885,1628.6026147948514
509676404.6869856,1937.1017807670778
508112528.58341074,1931.42806025534
529417757.43473613,1539.1185137198072
576002384.5970244,2178.611811230382
490034906.4141922,1520.713646594471
545003156.274671,1746.3168322547017
528790601.1316531,2109.137288428027
521027743.1159965,1564.2330359720409
556251770.9305894,2548.323430169832
537917177.2534072,1932.0108678585912
531783239.6374694,2621.9374530082773
494930892.1998902,1290.931150493163
544072814.5287912,2885.4922910718096
410853765.55189365,1170.8478424060104
462297061.0452207,1235.8994136499732
463143984.0100688,1667.614599598145
462497553.2848251,2060.894411770279
513279466.7725912,2948.754027346721
492193280.3181185,1529.9499071930577
475898901.4136007,1484.1075798795673
560512941.2389613,3161.541724739771
556462319.3837926,2622.9995165682935
501160225.0827389,2070.8922284778027
462670859.7603367,1687.5383837975915
487015594.61270994,2190.663966955498
462657325.34485245,2651.8224248088154
505090436.55542445,2401.2755658721726
543677626.2952607,1737.0305258013868
577832489.6291895,1313.5539631762108
523207342.9470203,2058.5106360769128
478880570.93045664,1875.0317148191298
574838638.1005263,2885.1850515203805
536412621.85435975,2131.401085677735
559494444.9242448,2149.600107543075
511507910.4742648,1945.9896439643912
544611457.74588,1166.9380630726155
550096881.9065092,2203.9531165184712
482764022.2214887,1959.2994993282032
450539092.6859107,1604.8494330461826
532478586.66218626,1849.1422614379212
460958573.7933215,1153.7889303193406
545257813.9457731,2013.471247814428
562694916.7494978,2222.4343686400875
586302614.6129389,2277.024681011816
549645615.5543649,1426.645502794202
482304193.39840937,1753.5801378898045
488159562.5503638,1920.0361852254255
564087365.0478907,4568.047547458266
539604970.4321039,1824.3536428862553
461706105.3353679,1599.4860933125547
545005837.6792473,2579.607787612066
564097275.2959732,2561.917486368661
548525593.4873476,1839.0067571738346
453345332.02556515,1080.9692526390845
439980814.75460297,1830.1522480891945
445716123.2400906,1818.5189838372116
447196700.51341903,909.7383744412391
463281045.9223566,1977.051338061758
548425212.7557542,1153.8418066979966
480758473.031785,1681.4390361127835
468815615.83304954,1518.0672327913567
569480797.8375113,1523.0193819200103
489142428.34974694,1755.254030377695
544095941.154107,2274.370856975188
577479720.9124527,2796.9246203127204
506751072.6433476,1476.6034671200864
572547461.8719468,2683.4103813369
551430190.5124437,2072.4173258455594
545889098.4934974,2373.808032274315
573297064.2887585,2737.8207174130366
474880791.064417,1691.574584369309
549698131.2470372,2383.3595089879773
479655507.5566834,1506.2405910240036
481042189.9872942,1314.7210473297291
473936405.5125895,2160.29472405747
543166187.7270694,2488.301508885932
523573269.0555036,2038.3094263773191
539905421.1341428,2048.2965224472428
525360742.5586194,1909.5489227444305
522092166.1122881,1547.814231791327
466433338.4762747,2732.0158240530036
543088358.9090595,2039.4479015143806
484261615.99825495,1845.848378825713
507557626.96165127,2694.620048108144
474765030.18399686,2258.627278805425
510175424.05299187,1763.8185762659718
544174669.328642,2596.133634713131
563502218.5943862,2497.6652650215156
546090411.9111012,2571.366332179011
565217289.0239205,3233.527738619692
545616366.557179,2103.9464145127185
528947964.3891588,2513.9105198604657
525885259.9885106,1934.9178449654619
484767099.4454604,1615.9822513765803
414570863.28123015,1840.9711016522178
460232416.9114357,1016.3800125965672
517451659.7793083,2751.3257065188454
416555366.1520791,1172.7463166722687
558266520.0879114,1949.259713668851
498464716.18628997,1843.3830419218139
504433406.2465432,1603.0906470027107
476384683.3149453,1642.3836601360058
523281749.2898412,3116.9459936704916
492661695.5579915,1847.7790318701018
439998096.58945835,1072.426054813951
543793982.8171836,2525.8723034835502
516532953.33054316,1690.413325664611
501331286.8769206,1838.8215976785618
456522948.88262427,1357.027409950821
566903130.9324878,2217.261825529206
542031098.2630733,2307.900732792205
488524149.31079555,2177.5277984378604
504465099.48137647,1940.7158677613716
528687111.0721831,2186.5148482316317
406198718.77578235,1064.0323514715237
430307253.4342146,1810.499535261849
515821324.7975177,1415.1701742128598
474467539.2190876,1691.87907782999
539166197.1254916,1608.351794960232
503331084.7671336,1825.6713647719716
426479549.5133101,1140.9227442019715
421618682.27860916,1264.5380615719678
519158767.12541544,1447.0648917726298
512103721.1424848,1303.5218100052452
522620957.3251347,1855.197795239198
531492473.133319,2176.921007214272
459239263.48009866,1443.79972797577
523645851.256067,1337.800289139951
448689922.86986446,1332.9216381443284
534512907.6391872,1993.8954754503675
488903150.06491137,1366.4097459420773
577707760.1738049,3627.64047104572
538209884.5476916,1996.5246740238827
532709709.34443367,2344.463153915024
451452506.5005223,1234.431340835944
